Date	Domain	BytesIn	BytesOut	Pass/Block FlagSet
2023-11-13 16:49:39	unfuelled.org	10160	7658	PASS	KKSNOK
2023-11-13 16:49:46	philocalist.net	723	13263	PASS	KVQLSX
2023-11-13 16:49:51	keraunographic.org	0	0	BLOCK	IWAGUE
2023-11-13 16:49:57	idiomorphically.com	13898	11072	PASS	OLUSEW
2023-11-13 16:49:58	philocalist.net	2279	4264	PASS	RBCHTJ
2023-11-13 16:50:05	bubbliness.net	20379	13317	PASS	NIXVVV
2023-11-13 16:50:12	blew.com	0	0	BLOCK	QFSLTV
2023-11-13 16:50:19	Norty.org	0	0	BLOCK	TIAYTD
2023-11-13 16:50:26	obfuscator.net	0	0	BLOCK	GXXQKX
2023-11-13 16:50:29	unfuelled.org	0	0	BLOCK	MVOQDX
2023-11-13 16:50:36	enlivenments.net	0	0	BLOCK	BMXJMK
2023-11-13 16:50:41	Diantha.org	0	0	BLOCK	KKPURG
2023-11-13 16:50:45	keraunographic.org	0	0	BLOCK	ROJZDE
2023-11-13 16:50:46	causeuses.com	21874	10730	PASS	NUTBDE
2023-11-13 16:50:52	enlivenments.net	12626	5289	PASS	TUESVC
2023-11-13 16:50:54	causeuses.com	0	0	BLOCK	SLYKJX
2023-11-13 16:50:58	philocalist.net	0	0	BLOCK	RESXUD
2023-11-13 16:50:59	causeuses.com	0	0	BLOCK	KGFKTA
2023-11-13 16:51:03	twittle-twattle.com	9136	11325	PASS	HIZJLQ
2023-11-13 16:51:06	Norty.org	4711	2792	PASS	HSWZOV
2023-11-13 16:51:12	enlivenments.net	4461	3223	PASS	OWSKBC
2023-11-13 16:51:16	keraunographic.org	3215	5378	PASS	AGTTHL
2023-11-13 16:51:21	Admete.net	14121	2702	PASS	ANAFCM
2023-11-13 16:51:22	cooperated.org	0	0	BLOCK	MPNTBJ
2023-11-13 16:51:26	twittle-twattle.com	0	0	BLOCK	EBQRHK
2023-11-13 16:51:32	twittle-twattle.com	0	0	BLOCK	IGGFIA
2023-11-13 16:51:34	Loring.com	14620	1840	PASS	LGHDPE
2023-11-13 16:51:40	bubbliness.net	0	0	BLOCK	DOJELQ
2023-11-13 16:51:43	idiomorphically.com	1659	923	PASS	TZNXNZ
2023-11-13 16:51:46	keraunographic.org	0	0	BLOCK	HENLXP
2023-11-13 16:51:52	dynamitist.net	0	0	BLOCK	BJKVVA
2023-11-13 16:51:56	philocalist.net	15866	13138	PASS	SCGBRO
2023-11-13 16:52:01	philocalist.net	0	0	BLOCK	JFJYLE
2023-11-13 16:52:03	Admete.net	8079	2434	PASS	FVNKFP
2023-11-13 16:52:06	bubbliness.net	11818	9422	PASS	JDWJUB
2023-11-13 16:52:09	keraunographic.org	0	0	BLOCK	ACPJIF
2023-11-13 16:52:13	causeuses.com	0	0	BLOCK	JVYWCE
2023-11-13 16:52:17	unfuelled.org	0	0	BLOCK	BGESAK
2023-11-13 16:52:23	anarcotin.net	945	11201	PASS	PQPRKG
2023-11-13 16:52:24	Diantha.org	0	0	BLOCK	YGIKGS
2023-11-13 16:52:25	idiomorphically.com	0	0	BLOCK	FGQFHO
2023-11-13 16:52:31	causeuses.com	9763	2256	PASS	LWVJAJ
2023-11-13 16:52:32	bubbliness.net	15496	2221	PASS	GQOZKX
2023-11-13 16:52:38	unfuelled.org	0	0	BLOCK	FMXRWI
2023-11-13 16:52:40	dynamitist.net	0	0	BLOCK	LVYCWM
2023-11-13 16:52:45	philocalist.net	0	0	BLOCK	TEILBH
2023-11-13 16:52:47	Admete.net	0	0	BLOCK	SOAIEW
2023-11-13 16:52:51	Diantha.org	0	0	BLOCK	NPWUMS
2023-11-13 16:52:53	Norty.org	17490	12226	PASS	RBRDMZ
2023-11-13 16:52:57	idiomorphically.com	0	0	BLOCK	YPBTYB
2023-11-13 16:53:04	Diantha.org	12505	10968	PASS	ZEQNCD
2023-11-13 16:53:10	jocuma.net	0	0	BLOCK	KFVSSS
2023-11-13 16:53:16	philocalist.net	0	0	BLOCK	UCPPXS
2023-11-13 16:53:22	enlivenments.net	0	0	BLOCK	QFEVQA
2023-11-13 16:53:26	bubbliness.net	12466	9796	PASS	KDDRVB
2023-11-13 16:53:31	idiomorphically.com	0	0	BLOCK	BKQKJG
2023-11-13 16:53:36	Diantha.org	0	0	BLOCK	RWZXDL
2023-11-13 16:53:40	causeuses.com	0	0	BLOCK	COETBR
2023-11-13 16:53:46	twittle-twattle.com	7791	1694	PASS	QQQSLH
2023-11-13 16:53:50	idiomorphically.com	12527	3383	PASS	QRNAOE
2023-11-13 16:53:56	privado.net	0	0	BLOCK	YTPVBS
2023-11-13 16:54:01	Norty.org	4740	9707	PASS	KRIQJL
2023-11-13 16:54:08	Admete.net	0	0	BLOCK	OXWHSE
2023-11-13 16:54:11	unseeingly.com	10533	6832	PASS	FGKPNB
2023-11-13 16:54:14	Loring.com	0	0	BLOCK	MJEUYZ
2023-11-13 16:54:21	twittle-twattle.com	17512	8215	PASS	IPOWYA
2023-11-13 16:54:27	Norty.org	14460	6347	PASS	VWGUXE
2023-11-13 16:54:30	obfuscator.net	0	0	BLOCK	UNAMLZ
2023-11-13 16:54:35	Admete.net	0	0	BLOCK	UGUZWF
2023-11-13 16:54:37	obfuscator.net	0	0	BLOCK	MJHMVC
2023-11-13 16:54:41	dynamitist.net	10971	12383	PASS	KKBLOS
2023-11-13 16:54:43	obfuscator.net	0	0	BLOCK	AZCNRU
2023-11-13 16:54:46	philocalist.net	0	0	BLOCK	YZBXJR
2023-11-13 16:54:50	keraunographic.org	20382	12293	PASS	WYFDVB
2023-11-13 16:54:54	enlivenments.net	0	0	BLOCK	GMAKAM
2023-11-13 16:55:00	causeuses.com	19385	564	PASS	HYKCHK
2023-11-13 16:55:03	unfuelled.org	0	0	BLOCK	EHINZW
2023-11-13 16:55:07	idiomorphically.com	2437	2972	PASS	TODBBB
2023-11-13 16:55:08	Diantha.org	0	0	BLOCK	DLYYGB
2023-11-13 16:55:09	anarcotin.net	0	0	BLOCK	ZONEZJ
2023-11-13 16:55:11	cooperated.org	0	0	BLOCK	MDDWWK
2023-11-13 16:55:15	bubbliness.net	0	0	BLOCK	SIUDJD
2023-11-13 16:55:16	keraunographic.org	0	0	BLOCK	HSKPSQ
2023-11-13 16:55:23	Admete.net	5023	8378	PASS	VHXMUK
2023-11-13 16:55:27	enlivenments.net	0	0	BLOCK	WMJKJL
2023-11-13 16:55:29	cooperated.org	4026	10103	PASS	ZHJKGT
2023-11-13 16:55:32	idiomorphically.com	0	0	BLOCK	NHRMIP
2023-11-13 16:55:36	Admete.net	4215	12511	PASS	EQWDUC
2023-11-13 16:55:42	anarcotin.net	0	0	BLOCK	FDAJIT
2023-11-13 16:55:44	unseeingly.com	0	0	BLOCK	RXZGRS
2023-11-13 16:55:51	dynamitist.net	22814	7248	PASS	FPYWQG
2023-11-13 16:55:54	jocuma.net	9604	6763	PASS	CFUBAJ
2023-11-13 16:55:56	dynamitist.net	1164	7070	PASS	RJABLA
2023-11-13 16:55:57	jocuma.net	13282	13016	PASS	ZSGRQE
2023-11-13 16:56:03	blew.com	21008	13105	PASS	ZFBLJV
2023-11-13 16:56:05	idiomorphically.com	0	0	BLOCK	MSAISM
2023-11-13 16:56:10	philocalist.net	665	7932	PASS	GQTXSH
2023-11-13 16:56:14	Diantha.org	10790	7446	PASS	DGWCCK
2023-11-13 16:56:18	bubbliness.net	0	0	BLOCK	VDZRIJ
2023-11-13 16:56:24	philocalist.net	9793	9171	PASS	HOAAOS
2023-11-13 16:56:31	unfuelled.org	0	0	BLOCK	MYHUHN
2023-11-13 16:56:34	anarcotin.net	0	0	BLOCK	WOTWUA
2023-11-13 16:56:37	unseeingly.com	0	0	BLOCK	UZLIXY
2023-11-13 16:56:41	enlivenments.net	0	0	BLOCK	FAQNON
2023-11-13 16:56:45	unseeingly.com	7252	5981	PASS	HGOJLH
2023-11-13 16:56:51	privado.net	21149	11586	PASS	HRNIPU
2023-11-13 16:56:55	twittle-twattle.com	4948	2820	PASS	XDRBRD
2023-11-13 16:56:59	blew.com	0	0	BLOCK	KHRPAS
2023-11-13 16:57:06	privado.net	22704	2587	PASS	NYZEPG
2023-11-13 16:57:12	jocuma.net	17470	11640	PASS	KEUSSR
2023-11-13 16:57:18	enlivenments.net	8437	6665	PASS	PIQSTP
2023-11-13 16:57:19	jocuma.net	0	0	BLOCK	XVPAVQ
2023-11-13 16:57:26	privado.net	18218	10347	PASS	GUFLSJ
2023-11-13 16:57:31	unseeingly.com	12176	198	PASS	TQZXJU
2023-11-13 16:57:33	idiomorphically.com	6753	6843	PASS	WGHMRO
2023-11-13 16:57:34	idiomorphically.com	18656	2443	PASS	LGWAAZ
2023-11-13 16:57:35	Admete.net	0	0	BLOCK	VKQQYA
2023-11-13 16:57:36	bubbliness.net	0	0	BLOCK	RNFWYI
2023-11-13 16:57:43	jocuma.net	0	0	BLOCK	KVCVOC
2023-11-13 16:57:47	obfuscator.net	0	0	BLOCK	RATVIV
2023-11-13 16:57:48	cooperated.org	0	0	BLOCK	FRCOKI
2023-11-13 16:57:51	causeuses.com	0	0	BLOCK	ICGSQE
2023-11-13 16:57:53	jocuma.net	0	0	BLOCK	IMHXBC
2023-11-13 16:57:54	unfuelled.org	13955	9737	PASS	LSRZBC
2023-11-13 16:58:01	cooperated.org	17100	7869	PASS	YZJXAH
2023-11-13 16:58:03	Loring.com	0	0	BLOCK	QQDIOC
2023-11-13 16:58:07	bubbliness.net	12708	11893	PASS	XCZIAL
2023-11-13 16:58:08	philocalist.net	10869	5193	PASS	YFJKPA
2023-11-13 16:58:15	cooperated.org	12614	2175	PASS	QVPFDD
2023-11-13 16:58:16	Norty.org	21337	540	PASS	MAZHCE
2023-11-13 16:58:17	idiomorphically.com	1149	8553	PASS	GAKGBI
2023-11-13 16:58:21	causeuses.com	4483	12666	PASS	MQWKUK
2023-11-13 16:58:27	Norty.org	10216	2750	PASS	AKIULR
2023-11-13 16:58:33	causeuses.com	0	0	BLOCK	GHRSXJ
2023-11-13 16:58:40	unfuelled.org	0	0	BLOCK	MPZDXN
2023-11-13 16:58:44	jocuma.net	9872	6917	PASS	CFVIBJ
2023-11-13 16:58:47	bubbliness.net	7629	10798	PASS	YQOITO
2023-11-13 16:58:50	dynamitist.net	0	0	BLOCK	NNGZNY
2023-11-13 16:58:52	Norty.org	2644	5966	PASS	GTNMJS
2023-11-13 16:58:55	jocuma.net	0	0	BLOCK	SVTZBI
2023-11-13 16:59:01	causeuses.com	0	0	BLOCK	DAPXGQ
2023-11-13 16:59:02	twittle-twattle.com	0	0	BLOCK	IMNMOH
2023-11-13 16:59:03	enlivenments.net	20280	1531	PASS	KMNJWD
2023-11-13 16:59:04	keraunographic.org	0	0	BLOCK	KUILSX
2023-11-13 16:59:07	keraunographic.org	0	0	BLOCK	BOZZNE
2023-11-13 16:59:11	keraunographic.org	7165	10763	PASS	NKTSDO
2023-11-13 16:59:12	dynamitist.net	0	0	BLOCK	AJQBVZ
2023-11-13 16:59:16	idiomorphically.com	21526	12829	PASS	ZBFAQU
2023-11-13 16:59:22	unfuelled.org	0	0	BLOCK	ILPELK
2023-11-13 16:59:28	dynamitist.net	0	0	BLOCK	REMIAR
2023-11-13 16:59:32	bubbliness.net	0	0	BLOCK	MTRIPC
2023-11-13 16:59:33	unseeingly.com	0	0	BLOCK	AOYOAJ
2023-11-13 16:59:39	dynamitist.net	13490	6129	PASS	MXPVYW
2023-11-13 16:59:40	unfuelled.org	16232	11268	PASS	BNKZAQ
2023-11-13 16:59:46	Admete.net	6606	1010	PASS	PPORJN
2023-11-13 16:59:51	blew.com	0	0	BLOCK	MUPQMY
2023-11-13 16:59:55	blew.com	1621	9633	PASS	XSNUZR
2023-11-13 17:00:00	Loring.com	9751	12596	PASS	IWGWIR
2023-11-13 17:00:07	philocalist.net	0	0	BLOCK	NWUGYD
2023-11-13 17:00:09	twittle-twattle.com	9347	9722	PASS	DEJVLA
2023-11-13 17:00:13	twittle-twattle.com	4243	7354	PASS	MCAAZC
2023-11-13 17:00:19	dynamitist.net	0	0	BLOCK	KXQYAB
2023-11-13 17:00:26	jocuma.net	21999	7121	PASS	DXIDYF
2023-11-13 17:00:29	idiomorphically.com	2000	11234	PASS	CNTBRA
2023-11-13 17:00:35	keraunographic.org	0	0	BLOCK	CBYHFR
2023-11-13 17:00:36	Admete.net	0	0	BLOCK	PVWEPP
2023-11-13 17:00:42	unfuelled.org	0	0	BLOCK	LTCMWT
2023-11-13 17:00:46	keraunographic.org	7887	4623	PASS	KDZDSY
2023-11-13 17:00:53	jocuma.net	7638	5054	PASS	SZVOEG
2023-11-13 17:00:58	twittle-twattle.com	6392	7210	PASS	DKDXKV
2023-11-13 17:01:04	enlivenments.net	161	4534	PASS	DQDJGP
2023-11-13 17:01:08	anarcotin.net	0	0	BLOCK	WSQWFM
2023-11-13 17:01:15	dynamitist.net	0	0	BLOCK	HFTUKV
2023-11-13 17:01:22	philocalist.net	20349	6402	PASS	RQSEHL
2023-11-13 17:01:23	philocalist.net	6142	7641	PASS	RNABXP
2023-11-13 17:01:25	keraunographic.org	16051	3116	PASS	PNELYY
2023-11-13 17:01:29	unfuelled.org	0	0	BLOCK	KUKWFS
2023-11-13 17:01:31	keraunographic.org	7079	8756	PASS	TLRUSX
2023-11-13 17:01:33	Admete.net	0	0	BLOCK	SXIGVW
2023-11-13 17:01:37	Diantha.org	0	0	BLOCK	DXNLLK
2023-11-13 17:01:41	dynamitist.net	8325	6600	PASS	IIQLMI
2023-11-13 17:01:47	idiomorphically.com	22222	12205	PASS	ITOJQV
2023-11-13 17:01:51	unseeingly.com	6022	3439	PASS	YESCSE
2023-11-13 17:01:55	privado.net	0	0	BLOCK	MJSQCT
2023-11-13 17:02:02	idiomorphically.com	444	3206	PASS	PZAFRH
2023-11-13 17:02:09	cooperated.org	18544	12259	PASS	LGVTTS
2023-11-13 17:02:15	anarcotin.net	0	0	BLOCK	ODQJRT
2023-11-13 17:02:21	Loring.com	0	0	BLOCK	RGYWRB
2023-11-13 17:02:28	Diantha.org	0	0	BLOCK	DVVOHV
2023-11-13 17:02:30	unseeingly.com	0	0	BLOCK	KTMOBV
2023-11-13 17:02:36	obfuscator.net	0	0	BLOCK	YKVHKI
2023-11-13 17:02:40	causeuses.com	0	0	BLOCK	IINSPE
2023-11-13 17:02:44	jocuma.net	0	0	BLOCK	PMHXBC
2023-11-13 17:02:50	idiomorphically.com	0	0	BLOCK	LPELKS
2023-11-13 17:02:56	Admete.net	0	0	BLOCK	ELIARS
2023-11-13 17:02:57	twittle-twattle.com	0	0	BLOCK	AFPWQJ
2023-11-13 17:03:04	blew.com	6803	11129	PASS	UNPCQV
2023-11-13 17:03:10	unfuelled.org	383	6045	PASS	IEDIRY
2023-11-13 17:03:13	Admete.net	7302	10267	PASS	FGXHJO
2023-11-13 17:03:16	Loring.com	0	0	BLOCK	DCFQUX
2023-11-13 17:03:20	twittle-twattle.com	0	0	BLOCK	ACEAMU
2023-11-13 17:03:25	anarcotin.net	22909	297	PASS	ZBIGYE
2023-11-13 17:03:30	Norty.org	0	0	BLOCK	JPDNDP
2023-11-13 17:03:35	unseeingly.com	15715	11902	PASS	DUGXDG
2023-11-13 17:03:37	Loring.com	16867	29	PASS	EJVSHI
2023-11-13 17:03:44	bubbliness.net	10232	7933	PASS	ZXXWZR
2023-11-13 17:03:50	cooperated.org	0	0	BLOCK	UUCXYU
2023-11-13 17:03:52	anarcotin.net	0	0	BLOCK	JAUFAV
2023-11-13 17:03:53	twittle-twattle.com	22849	13017	PASS	SGKQFO
2023-11-13 17:03:55	Diantha.org	0	0	BLOCK	FZYVEC
2023-11-13 17:03:59	blew.com	10481	7502	PASS	SABMMR
2023-11-13 17:04:00	keraunographic.org	0	0	BLOCK	QGJTXS
2023-11-13 17:04:03	cooperated.org	5497	2670	PASS	AWAPCV
2023-11-13 17:04:04	idiomorphically.com	6244	1377	PASS	DTLIDN
2023-11-13 17:04:07	cooperated.org	9983	8364	PASS	HAUHSZ
2023-11-13 17:04:08	enlivenments.net	0	0	BLOCK	VXKECZ
2023-11-13 17:04:11	philocalist.net	17068	1978	PASS	TRWYFQ
2023-11-13 17:04:16	obfuscator.net	0	0	BLOCK	YNUEOY
2023-11-13 17:04:22	jocuma.net	0	0	BLOCK	KKJMEB
2023-11-13 17:04:24	obfuscator.net	0	0	BLOCK	AIJLHT
2023-11-13 17:04:25	philocalist.net	0	0	BLOCK	GHSGIP
2023-11-13 17:04:31	Diantha.org	10837	2875	PASS	MXWKBK
2023-11-13 17:04:32	anarcotin.net	16569	2840	PASS	IRPBMY
2023-11-13 17:04:38	causeuses.com	0	0	BLOCK	GOYSXJ
2023-11-13 17:04:40	unfuelled.org	0	0	BLOCK	MWZDYN
2023-11-13 17:04:45	Admete.net	0	0	BLOCK	UGJNCI
2023-11-13 17:04:48	twittle-twattle.com	0	0	BLOCK	TPBJFX
2023-11-13 17:04:52	obfuscator.net	0	0	BLOCK	OQXWNU
2023-11-13 17:04:54	Norty.org	18563	12845	PASS	TCSENA
2023-11-13 17:04:58	philocalist.net	0	0	BLOCK	ZRCUZC
2023-11-13 17:04:59	obfuscator.net	13578	11587	PASS	AFRODE
2023-11-13 17:05:03	obfuscator.net	0	0	BLOCK	EZPMNM
2023-11-13 17:05:08	unfuelled.org	9779	7439	PASS	KJRMOJ
2023-11-13 17:05:15	philocalist.net	342	13043	PASS	KUPLSX
2023-11-13 17:05:19	keraunographic.org	0	0	BLOCK	IVAGUE
2023-11-13 17:05:25	idiomorphically.com	13518	10853	PASS	NKTSDV
2023-11-13 17:05:26	philocalist.net	1898	4044	PASS	QBCGSJ
2023-11-13 17:05:33	keraunographic.org	19998	13098	PASS	MHXVVU
2023-11-13 17:05:40	blew.com	0	0	BLOCK	PESKTU
2023-11-13 17:05:46	Norty.org	0	0	BLOCK	TIAYSC
2023-11-13 17:05:53	obfuscator.net	0	0	BLOCK	FWWQJX
2023-11-13 17:05:56	dynamitist.net	0	0	BLOCK	MVOQDX
2023-11-13 17:06:02	enlivenments.net	0	0	BLOCK	ALWJMK
2023-11-13 17:06:07	Diantha.org	0	0	BLOCK	JKPURG
2023-11-13 17:06:11	cooperated.org	0	0	BLOCK	ROJYDD
2023-11-13 17:06:12	Admete.net	21493	10511	PASS	GMMUWX
2023-11-13 17:06:18	enlivenments.net	12245	5070	PASS	STESUB
2023-11-13 17:06:20	causeuses.com	0	0	BLOCK	RKYJJX
2023-11-13 17:06:24	idiomorphically.com	0	0	BLOCK	RERXUD
2023-11-13 17:06:25	causeuses.com	0	0	BLOCK	KGEKSA
2023-11-13 17:06:28	twittle-twattle.com	8756	11105	PASS	HIYILP
2023-11-13 17:06:31	Norty.org	4330	2572	PASS	GSVZOU
2023-11-13 17:06:37	enlivenments.net	4081	3003	PASS	OVSKBC
2023-11-13 17:06:41	keraunographic.org	2834	5159	PASS	ZGTTGL
2023-11-13 17:06:46	philocalist.net	13740	2483	PASS	ZMZFCL
2023-11-13 17:06:47	jocuma.net	0	0	BLOCK	LOMSBI
2023-11-13 17:06:51	Admete.net	0	0	BLOCK	DBPQHK
2023-11-13 17:06:57	twittle-twattle.com	0	0	BLOCK	IGGFHA
2023-11-13 17:06:59	Loring.com	14239	1621	PASS	KFHCPD
2023-11-13 17:07:05	bubbliness.net	0	0	BLOCK	DNIELQ
2023-11-13 17:07:06	keraunographic.org	18416	10585	PASS	MSGQGS
2023-11-13 17:07:07	unfuelled.org	1218	13424	PASS	GEPHNQ
2023-11-13 17:07:11	enlivenments.net	0	0	BLOCK	CNOTFV
2023-11-13 17:07:14	keraunographic.org	0	0	BLOCK	LVZTJH
2023-11-13 17:07:17	causeuses.com	8446	922	PASS	BREXFH
2023-11-13 17:07:20	unseeingly.com	15175	2735	PASS	MKEPKF
2023-11-13 17:07:24	bubbliness.net	0	0	BLOCK	ICVJUA
2023-11-13 17:07:31	unfuelled.org	0	0	BLOCK	QSFZYU
2023-11-13 17:07:33	anarcotin.net	12705	12917	PASS	OMSTBL
2023-11-13 17:07:37	unfuelled.org	0	0	BLOCK	TIQZJT
2023-11-13 17:07:42	jocuma.net	931	2803	PASS	EHZWZP
2023-11-13 17:07:48	Loring.com	0	0	BLOCK	FGCOWS
2023-11-13 17:07:51	enlivenments.net	2736	6826	PASS	DKPAHA
2023-11-13 17:07:57	jocuma.net	16848	9324	PASS	WFYANA
2023-11-13 17:07:59	unfuelled.org	11210	5622	PASS	HTPNTB
2023-11-13 17:08:02	privado.net	0	0	BLOCK	SEBQRH
2023-11-13 17:08:07	causeuses.com	0	0	BLOCK	TJNNNP
2023-11-13 17:08:08	Loring.com	7471	12089	PASS	DLNOKX
2023-11-13 17:08:10	anarcotin.net	17192	5156	PASS	VJLSRI
2023-11-13 17:08:15	unseeingly.com	1988	8120	PASS	AOYNZI
2023-11-13 17:08:21	unseeingly.com	13109	5910	PASS	MXPUXV
2023-11-13 17:08:22	dynamitist.net	15851	11048	PASS	AMKYZP
